attack,model,baseline_recall,attack_recall,recall_drop
baseline (unperturbed),TF-IDF + LR,0.5833333333333334,0.5833333333333334,0.0
baseline (unperturbed),MiniLM Embeddings + LR,0.8333333333333334,0.8333333333333334,0.0
baseline (unperturbed),DistilBERT,0.6666666666666666,0.6666666666666666,0.0
character_perturbation,TF-IDF + LR,0.5833333333333334,0.4166666666666667,0.16666666666666669
character_perturbation,MiniLM Embeddings + LR,0.8333333333333334,0.75,0.08333333333333337
character_perturbation,DistilBERT,0.6666666666666666,1.0,-0.33333333333333337
unicode_lookalike_substitution,TF-IDF + LR,0.5833333333333334,0.4166666666666667,0.16666666666666669
unicode_lookalike_substitution,MiniLM Embeddings + LR,0.8333333333333334,0.16666666666666666,0.6666666666666667
unicode_lookalike_substitution,DistilBERT,0.6666666666666666,1.0,-0.33333333333333337
synonym_substitution,TF-IDF + LR,0.5833333333333334,0.4166666666666667,0.16666666666666669
synonym_substitution,MiniLM Embeddings + LR,0.8333333333333334,0.75,0.08333333333333337
synonym_substitution,DistilBERT,0.6666666666666666,0.8333333333333334,-0.16666666666666674
payload_splitting,TF-IDF + LR,0.5833333333333334,0.6666666666666666,-0.08333333333333326
payload_splitting,MiniLM Embeddings + LR,0.8333333333333334,0.8333333333333334,0.0
payload_splitting,DistilBERT,0.6666666666666666,0.6666666666666666,0.0
base64_encoding,TF-IDF + LR,0.5833333333333334,0.0,0.5833333333333334
base64_encoding,MiniLM Embeddings + LR,0.8333333333333334,0.0,0.8333333333333334
base64_encoding,DistilBERT,0.6666666666666666,0.08333333333333333,0.5833333333333333
roleplay_framing,TF-IDF + LR,0.5833333333333334,0.75,-0.16666666666666663
roleplay_framing,MiniLM Embeddings + LR,0.8333333333333334,1.0,-0.16666666666666663
roleplay_framing,DistilBERT,0.6666666666666666,0.6666666666666666,0.0
